Ticker,CIK,Title,CEO,Median,Ratio,Median Source,Ratio Source
AAPL,320193,Apple Inc.,1551928.0,55426,283," was $15,682,219, the 2018 annual total compensation of our median compensatedemployee was $55,426, ","&#151;2018 The 2018 annual total compensation of our CEO was $15,682,219, the 2018 annual total compensation of our median compensatedemployee was $55,426, and the ratio of these amounts is 283 to 1. "
MSFT,789019,MICROSOFT CORP,4140288.0,172512,249," annual total compensation for the median employee of the Company (other than our CEO) was $172,512 "," of our CEOwas $42,910,215. Based on this information, for fiscal year 2019 the ratio of the annual total compensation of our CEO to the annual total compensation of the median employee was 249 to 1. "
BRK-B,1067983,BERKSHIRE HATHAWAY INC,387360.6,58691,6.63,"tal compensation($388,968) to the annual total compensation of the median employee in 2018 ($58,691)","escribed in the preceding paragraphs, the ratio of Mr.&nbsp;Buffett&#146;s annual total compensation($388,968) to the annual total compensation of the median employee in 2018 ($58,691) was 6.63 to 1. "
UNH,731766,UNITEDHEALTH GROUP INC,1779772.0,57412,316," value of employer-paid health insurance contributions. Our median employeecompensation was $57,412 ","Officer's compensation was $18,124,873. Accordingly, our CEO to median employee pay ratio is 316:1. "
JNJ,200406,JOHNSON & JOHNSON,,66000,,"l Total CompensationThe annual total compensation of our median-paid employee for 2017 was $66,000. ",
XOM,34088,EXXON MOBIL CORP,1885125.0,171375,110," annual total compensation of the CEO of the Corporation for 2018 was $18,810,320. The median of the annual total compensation of all employees of the Corporationexcept the CEO for 2018 was $171,375. ","oyees of the Corporationexcept the CEO for 2018 was $171,375. The ratio of the annual total compensation of the CEO for 2018 to the median of the annual total compensation of all employees was 110:1. "
NVDA,1045810,NVIDIA CORP,1240280.0,155035,88,"l 2019 pay ratio calculation.Our median employee&#8217;s compensation for Fiscal 2019 was $155,035. ","oyee&#8217;s compensation for Fiscal 2019 was $155,035.  Our CEO&#8217;s compensation for Fiscal 2019 was $13,642,838.  Therefore, our Fiscal 2019 CEO to median employee&#160;pay ratio&#160;was 88:1.T"
WMT,104169,Walmart Inc.,2348864.0,21952,1076,"ensation of our CEO was $23,618,233, annual total compensation of our Median Associate was $21,952, ","total compensation of our Median Associate was $21,952, and the ratio of these amounts was 1,076:1.B"
JPM,19617,JPMORGAN CHASE & CO,2999074.0,78923,381,"ts  &nbsp;&#9726;&nbsp; The annual total compensation of our estimated median employee was $78,923, ","The annual total compensation of our estimated median employee was $78,923, including Firm-paid employee benefits2 and change in pension value  &nbsp;&#9726;&nbsp; This represents a ratio of 381 to 1 "
PG,80424,PROCTER & GAMBLE Co,1989780.0,66326,309,"of Regulation S-K and based upon our reasonable judgment and assumptions. For FY 2018-19, the median of the annual total compensation of all employees of the company (other than our CEO) was $66,326, ","ensation of our CEO was $20,498,812. Based on this information, the ratio of the annual total compensation of Mr.&nbsp;Taylor to the median of the annual total compensation of employees was 309 to 1. "
LLY,59478,ELI LILLY & Co,1642428.0,91246,189,"tal annual compensation in accordance with the requirements of the Summary Compensation Table.Our median employee compensation as calculated using Summary Compensation Table requirements was $91,246.&"," Compensation Table was $17,230,337.&#160;Therefore, our CEO to median employee pay ratio is 189:1.&"
MA,1141391,Mastercard Inc,1950352.0,121897,167,"employees, except our CEO.For 2018, the annual total compensation of our identified median employee (that is, the median employee across all employees of the company other than the CEO) was $121,897, ","s reported in the Summary Compensation Table was $20,379,353. Accordingly, for 2018, the ratio of the compensation of our CEO to the compensation for our median employee was estimated to be 167 to 1.C"
HD,354950,"HOME DEPOT, INC.",,23389,,"&#8226;The annual total compensation of our median-paid associate, other than our CEO, was $23,389. ",
CVX,93410,CHEVRON CORP,,,152,,ent&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;67Table of Contents CEO pay ratio The ratio of the annual total compensation for the CEO to the annual total compensation of our median compensated employee was 152:1 
PFE,78003,PFIZER INC,1920264.0,80011,244,"he annual total compensation of the median-paid employee whose 2018 total compensation was $80,011.T"," representing the median-paid employee is the same employee selected for the 2018 Proxy Statement.&nbsp;The 2018 annual total compensation for Mr. Read was $19,549,213, whichis approximately 244 times"
ABBV,1551152,AbbVie Inc.,2083522.0,148823,143,"8,the annual total compensation of our median employee (other than Mr.&nbsp;Gonzalez) was $148,823. ","lated in a manner consistent with Regulation&nbsp;S-K Item&nbsp;402(u). The ratio of Mr.&nbsp;Gonzalez's annualtotal compensation for 2018, as reported in the Summary Compensation Table in this proxy statement, to the median employee annual total compensation determined on the same basis was 143:1. "
MRK,310158,"Merck & Co., Inc.",,91954,,"#160;          3,602          &#160;                &#160;     THE RATIO  &#160;  The median annual total compensation as calculated under the Summary Compensation Table requirements was      $91,954 ",
KO,21344,COCA COLA CO,1660440.0,16440,1016,"rove Coca-Cola system efficiency.For 2018, the median annual total compensation of all employees of the Company and its consolidated subsidiaries (other than the Chief Executive Officer) was $16,440. ","1,328. Based on this information, for 2018, the ratio of the compensation of the Chief Executive Officer to the median annual total compensation of all other employees was estimated to be 1,016 to 1.T"
BAC,70858,BANK OF AMERICA CORP /DE/,2208960.0,92040,247,"22,765,354 &nbsp; &nbsp; &nbsp; Median EmployeeAnnual Total Compensation &nbsp;&nbsp; &nbsp;$92,040 ","p;&nbsp; &nbsp;$22,765,354 &nbsp; &nbsp; &nbsp; Median EmployeeAnnual Total Compensation &nbsp;&nbsp; &nbsp;$92,040 &nbsp;&nbsp; &nbsp; &nbsp; CEO to MedianEmployee Pay Ratio &nbsp;&nbsp; &nbsp;247:1 "
PEP,77476,PEPSICO INC,2428596.0,44974,545," with applicable SEC rules.   &#9679;   The median employee&#8217;s total compensation was $44,974. ","same as what appears in the Summary Compensation Table.Based on this information, the ratio of CEO annual total compensation to the median employee compensation for 2018 was estimated to be 545 to 1.S"
AVGO,1730168,Broadcom Inc.,405830.0,202915,25,"48;, is $5,042,937 and the annual total compensation of our mediancompensated employee is $202,915. "," the annual total compensation of our mediancompensated employee is $202,915. The Ratio is 25 to 1. "
ORCL,1341439,ORACLE CORP,83813.0,83813,12,"nd $2,481,646, respectively. The fiscal 2019 total compensation of our median employee was $83,813. "," 2019 total compensation, the ratio of CEO to median employee annual total compensation is 12 to 1. "
TMO,97745,THERMO FISHER SCIENTIFIC INC.,1823325.0,79275,235,"17. The annual total compensation of our median employee (other than the CEO) for 2018 was $79,275. "," 2018 was $18,607,103. Based on the foregoing, our estimate of the ratio of the annual total compensation of our CEO to the median of the annual total compensation of all otheremployees was 235 to 1. "
COST,909832,COSTCO WHOLESALE CORP /NEW,756992.0,47312,169," fiscal 2019, the median employee in the considered population had a total compensation of $47,312.&","e CEO&#8217;s total compensation as shown in the Summary Compensation Table was $8,016,200. Based upon the estimates, assumptions, and methodology described above, the pay ratio calculation is 169:1. "
