Ticker,CIK,Title,CEO,Median,Ratio,Median Source,Ratio Source
AAPL,320193,Apple Inc.,1444575.0,57783,256," was $14,769,259, the 2020 annual total compensation of our median compensatedemployee was $57,783, ","#150; 2020 The 2020 annual total compensation of our CEO was $14,769,259, the 2020 annual total compensation of our median compensatedemployee was $57,783, and the ratio of these amounts is 256 to 1. "
MSFT,789019,MICROSOFT CORP,4952024.0,176858,282," annual total compensation for the median employee of the Company (other than our CEO) was $176,858 "," of our CEO was $49,858,280. Based on this information, for fiscal year 2021 the ratio of theannual total compensation of our CEO to the annual total compensation of the median employee was 282 to 1. "
BRK-B,1067983,BERKSHIRE HATHAWAY INC,376986.5,68543,5.55,"al compensation ($380,328) to the annual total compensation of the median employee in 2020 ($68,543)","escribed in thepreceding paragraphs, the ratio of Mr.&nbsp;Buffett&#146;s annual total compensation ($380,328) to the annual total compensation of the median employee in 2020 ($68,543) was 5.55 to 1. "
UNH,731766,UNITEDHEALTH GROUP INC,1782272.0,55696,321," value of employer-paid health insurance contributions. Our median employeecompensation was $55,696 ","our CEO's compensation was $17,888,569. Accordingly, our CEO to median employee pay ratio is 321:1. "
JNJ,200406,JOHNSON & JOHNSON,,76000,,"l Total CompensationThe annual total compensation of our median-paid employee for 2019 was $76,000. ",
NVDA,1045810,NVIDIA CORP,,215930,,"e identity of our median employee for Fiscal 2021, whose compensation for Fiscal 2021 was $215,930. ",
WMT,104169,Walmart Inc.,,,1078,,"l compensation of our median associate was &#36;20,942, and the ratio of these amounts was 1,078:1. "
JPM,19617,JPMORGAN CHASE & CO,3123978.0,80102,395,"employee benefits&#8226;The annual total compensation of our estimated median employee was $80,102, ","benefits&#8226;The annual total compensation of our estimated median employee was $80,102, including Firm-paid employee benefits2 and change in pension value&#8226;This represents a ratio of 395 to 1I"
PG,80424,PROCTER & GAMBLE Co,2368814.0,69671,343,"E&nbsp;COMPENSATION&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &nbsp;For FY 2020-21, the median of the annual total compensation of all employees of the company (other than our CEO) was $69,671, ","ensation of our CEO was $23,900,381. Based on this information, the ratio of the annual total compensation of Mr.&nbsp;Taylor to the median of the annual total compensation of employees was 343 to 1. "
LLY,59478,ELI LILLY & Co,,101752,,"atio&#58;CEO Annual Total Compensation*$23,708,629Median Employee Annual Total Compensation$101,752C",
MA,1141391,Mastercard Inc,2774394.0,132114,210,"employees, except our CEO.For 2020, the annual total compensation of our identified median employee (that is, the median employee across all employees of the company other than the CEO) was $132,114, ","s reported in the Summary Compensation Table was $27,774,448. Accordingly, for 2020, the ratio of the compensation of our CEO to the compensation for our median employee was estimated to be 210 to 1.C"
HD,354950,"HOME DEPOT, INC.",1396839.0,27389,511,"&#8226;The annual total compensation of our median-paid associate, other than our CEO, was $27,389. ","47, was $13,995,092.&#8226;Based on this information, for Fiscal 2020 the ratio of the annual total compensation of our CEO to the annual total compensation of our median-paid associate was 511 to 1.F"
CVX,93410,CHEVRON CORP,2836297.8000000003,157572.1,184," $29,016,686 by the 2020 annual total compensation of our median compensated employee of $157,572.1 ",orporation&#151;2021 Proxy StatementTable of Contents CEO pay ratio The ratio of the annual total compensation for the CEO to the annual total compensation of our median compensatedemployee was 184:1 
PFE,78003,PFIZER INC,2067732.0,108828,193,"l total compensation of the median-paid employee whose 2020 annual total compensation was $108,828. ","id employee for the 2021 Proxy Statement, which would be the second year as the median-paid employee.The 2020 annual total compensation for Dr. Bourla was $21,033,570, which is approximately 193 times"
ABBV,1551152,AbbVie Inc.,2336580.0,155772,154," 2020, the annual total compensation of our median employee (other than Mr. Gonzalez) was $155,772. ","te calculated in a manner consistent with Regulation S-K Item 402(u). The ratio of Mr. Gonzalez&#8217;s annual total compensation for 2020, as reported in the Summary Compensation Table in this proxy statement, to the median employee annual total compensation determined on the same basis was 154:1. "
MRK,310158,"Merck & Co., Inc.",2189640.0,109482,202,"&nbsp;3,881&nbsp; The Ratio  The totalannual compensation of our median employee as calculated under the Summary Compensation table requirements for calculating total annual compensation was $109,482 ",of the ratio of our CEO&#146;s compensation to our median employee&#146;s compensation is 202 to 1. 
KO,21344,COCA COLA CO,1837404.0,11342,1621,"arding our compensation philosophy, see page 50.&nbsp;For 2020, the median annual total compensation of all employees ofthe Company and its consolidated subsidiaries (other than the CEO) was $11,342. ","tion Table, was $18,383,474. Basedon this information, for 2020, the ratio of the compensation of the CEO to the median annual total compensation of all other employeeswas estimated to be 1,621 to 1.&"
BAC,70858,BANK OF AMERICA CORP /DE/,2561382.0,94866,274,"ion*&nbsp; &nbsp; $25,951,521 &nbsp; Median employee annual total compensation&nbsp; &nbsp; $94,866 "," total compensation&nbsp; &nbsp; $94,866 &nbsp; CEO to median employee pay ratio&nbsp; &nbsp; 274:1 "
PEP,77476,PEPSICO INC,,,,,
AVGO,1730168,Broadcom Inc.,239395.0,239395,15,"21; is $3,695,852 and the median of the annual total compensation of all our employees is $239,395. ","the median of the annual total compensation of all our employees is $239,395. The Ratio is 15 to 1.I"
ORCL,1341439,ORACLE CORP,1026048.0,85504,124,"s.&nbsp;Catz was $10,631,223. The fiscal 2021 total compensation of our median employee was$85,504. ","loyee). For fiscal 2021, our ratio of CEO to median employee annual total compensation is 124 to 1. "
TMO,97745,THERMO FISHER SCIENTIFIC INC.,2588652.0,71907,367,"0). The annual total compensation of our median employee (other than the CEO) for 2020 was $71,907. ","2020 was $26,390,073. Based on the foregoing, our estimate of the ratio of the annual total compensation of our CEO to the median of the annual total compensation of all other employees was 367 to 1, "
COST,909832,COSTCO WHOLESALE CORP /NEW,,45294,," fiscal 2021, the median employee in the considered population had a total compensation of $45,294. ",
CSCO,858877,"CISCO SYSTEMS, INC.",2496120.0,124806,204,"s. As determined in accordance with SEC rules, the fiscal 2021 annual total compensation was $25,446,695 for our CEO as reportedin the Summary Compensation Table and $124,806 for our median employee, "," total compensation was $25,446,695 for our CEO as reportedin the Summary Compensation Table and $124,806 for our median employee, who is located in Japan, and the ratio of these amounts is 204 to 1. "
MCD,63908,MCDONALDS CORP,1076655.8478,9124.2021,1189,"e employees. Our median employee for 2020 is the same individual identified in 2019 (a part-time restaurant crew employee located in the United Kingdom) and had 2020 total compensation of $9,124.2021 ","9. As a result, executive payouts under the 2020 STIP were $0, and our CEO&#8217;s 2020 total compensation of $10,847,032 was significantly lower than in prior years, resulting in a ratio of 1,189:1. "
DHR,313616,DANAHER CORP /DE/,1454256.0,60594,243," Blair&rsquo;s rate of pay as of October 31, 2020) was $14,727,361;     &bull;    the annual total compensation of the median of all Danaher employees (other than Messrs. Blair and Joyce) was $60,594;","Blair and Joyce) was $60,594; and     &bull;    the ratio of the annualized total compensation of Mr. Blair to the annual total compensation of the median of all other Company employees was 243 to 1.&"
ABT,1800,ABBOTT LABORATORIES,2017444.0,77594,266,"l CEO compensation of $20,639,568. Theannual total compensation of our median employee was $77,594, ","68. Theannual total compensation of our median employee was $77,594, resulting in a ratio of 266:1. "
TMUS,1283699,"T-Mobile US, Inc.",5435665.0,63949,859,"ompensation ofMr.&nbsp;Sievert, our Chief Executive Officer. We have calculated the median of our employees&#146; 2020 total annual compensation (excluding our Chief Executive Officer) to be $63,949. ","o 2020), was $54,931,184. The estimated ratio of the total compensation of Mr.&nbsp;Sievert to the median of the annual total compensation of our employees (other than Mr.&nbsp;Sievert) was 859 to 1. "
LIN,1707925,LINDE PLC,1846420.0,42940,432,"at the Pay Ratio.&nbsp;&nbsp;The median employee&#8217;s 2020 annual total compensation was $42,940 "," CEO&#8217;s 2020 annual total compensation was $18,556,901 resulting in a 2020 Pay Ratio of 432:1. "
